# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.7000, 0.6000, 0.5000, 1.1000, 77.0000, 94.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0141, 3.4101, 3.6689
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.4000, 0.3000, 0.2000, 0.6500, 77.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0081, 0.0139, 2.9397, 3.7384
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
0.8000, 0.6000, 0.5000, 1.1000, 77.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0073, 0.0139, 3.4101, 3.5680
